,#FILEFORMAT=annV0.5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#FILEDATE=01.25.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,field_name,vcf_field,schema_title,do_import,value_example,scope,source_name,source_version,description,field_type,sub_embedding_group,is_list,annotation_category,facet_order,facet_default_hidden,column_order,priority,source,pattern,default,min,max,enum_list,links_to,embedded_field,calculated_property,link,comments,annotation_space_location,abbreviation
1,CHROM,CHROM,Chromosome,Y,1;2;3;4;5;6;22;X;Y;M,variant,VCF,VCFv4.2,Chromosome,string,,N,Position,1,,,5,VCF,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,X,Y,M",,,,,,Position,
2,POS,POS,Position,Y,949608,variant,VCF,VCFv4.2,Position,integer,,N,Position,2,,,5,VCF,,,0,,,,,,,,Position - maybe later,
3,ID,ID,dbSNP ID,Y,rs1921,variant,VCF,VCFv4.2,dbSNP ID,string,,N,Position,,,,3,GATK / manual,,,,,,,,,,do we know why this is less complete than dbsnp_rs_number?,,
4,REF,REF,Ref,Y,G,variant,VCF,VCFv4.2,Reference allele,string,,N,Position,,,,5,VCF,,,,,,,,,,,Position - maybe later,
5,ALT,ALT,Alt,Y,A;T;C;G;GAAATCA,variant,VCF,VCFv4.2,Alternative allele,string,,N,Position,,,,5,VCF,,,,,,,,,,,Position - maybe later,
6,QUAL,QUAL,Variant Quality,Y,302.6,sample_variant,VCF,VCFv4.2,phred-scaled quality score for the assertion made in ALT (multi-sample),number,,N,Variant Quality,,,,5,VCF,,,,,,,,,,,Quality,
7,CALL_INFO,CALL_INFO,Sample ID,Y,"0/1:33,14:47:99:310,0,927",sample_variant,VCF,VCFv4.2,Calling info,string,,N,Genotype,,,,5,VCF,,,,,,,,,,,,
8,GT,GT,Genotype,Y,"0/1,0/2,1/2",sample_variant,VCF,VCFv4.2,Genotype,string,,N,Genotype,,,30,4,VCF,,,,,,,,,,,,
9,AD,AD,Allelic Depth,Y,"33,14",sample_variant,VCF,VCFv4.2,Allelic depth,string,,N,Variant Quality,,,,5,VCF,,,,,,,,,,,,
10,AD_REF,AD_REF,AD (Ref),Y,33,sample_variant,VCF,VCFv4.2,Reference allelic depth,integer,,N,Variant Quality,,,,5,manual / calculated?,,,,,,,,Y,,,,
